Q1: C
Q2: 1
Q3: 3
Q4: 2
Q5: 2
Q6: 4
Q7: 1
Q8: 1
Q9: 4
Q10: 3
Q11: 3
Q12: 4
Q13: 2
Q14: 1
Q15: 3
Q16: 4
Q17: 2
Q18: 1
Q19: 2
Q20: 2
Q21: 2
Q22: 2
Q23: 1
Q24: 4
Q25: 4
Q26: 1
Q27: 2
Q28: 1
Q29: 4
Q30: 4
Q31: 2
Q32: 1
Q33: 4
Q34: 3
Q35: 1
Q36: 2
Q37: 2
Q38: 4
Q39: 1
Q40: 1
Q41: 3
Q42: 4
Q43: 3
Q44: 2
Q45: 3
Q46: 3
Q47: 4
Q48: 1
Q49: 4
Q50: 2
Q51: 1
Q52: 1
Q53: 2
Q54: 4
Q55: 3
Q56: 4
Q57: 1
Q58: 1
Q59: 1
Q60: A
Q61: 3
Q62: 1
Q63: 1
Q64: 4
Q65: 4
Q66: 2
Q67: 1
Q68: 2
Q69: A
Q70: 1
Q71: 4
Q72: 1
Q73: 2
Q74: 1
Q75: 2
Q76: 3
Q77: 3
Q78: 1
Q79: 2
Q80: 2
Q81: 2
Q82: 1
Q83: 4
Q84: 1
Q85: 3
Q86: 2
Q87: 4
Q88: 3
Q89: 1
Q90: 2
Q91: 4
Q92: 2
Q93: 1
Q94: 4
Q95: 1
Q96: 1
Q97: 1
Q98: 4
Q99: 4
Q100: 1
Q101: 3
Q102: 4
Q103: 1
Q104: 3
Q105: 3
Q106: 1
Q107: 2
Q108: 4
Q109: 2
Q110: 3
Q111: 3
Q112: 4
Q113: 4
Q114: 3
Q115: 3
Q116: 3
Q117: 2
Q118: 2
Q119: 3
Q120: 3
Q121: 1
Q122: 4
Q123: A
Q124: 4
Q125: 3
Q126: 3
Q127: 2
Q128: 2
Q129: 2
Q130: 3
Q131: 1
Q132: 4
Q133: 2
Q134: 2
Q135: 1
Q136: 1
Q137: 1
Q138: 2
Q139: 2
Q140: 2
Q141: 4
Q142: 4
Q143: 4
Q144: 1
Q145: 3
Q146: 4
Q147: 2
Q148: 2
Q149: 1
Q150: 4
Q151: 3
Q152: 3
Q153: 2
Q154: 3
Q155: 1
Q156: 2
Q157: 4
Q158: 2
Q159: 1
Q160: 1
