================================================================================
AP & TS EAPCET - CHAPTER WISE WEIGHTAGE (ENGINEERING)
Based on updated syllabus
================================================================================

--------------------------------------------------------------------------------
MATHEMATICS (40 Topics)
--------------------------------------------------------------------------------
S.No | Topic                                           | Weightage | Priority
--------------------------------------------------------------------------------
 1   | TRIGONOMETRY UPTO TRANSFORMATIONS               | 4         | High
 2   | INTEGRATION                                     | 4         | High
 3   | CIRCLES                                         | 4         | High
 4   | PROBABILITY                                     | 4         | High
 5   | DEFINITE INTEGRALS                              | 4         | High
 6   | COMPLEX NUMBERS                                 | 3         | High
 7   | PROPERTIES OF TRIANGLES                         | 3         | High
 8   | DIFFERENTIAL EQUATIONS                          | 3         | High
 9   | LIMITS & CONTINUITY                             | 3         | High
 10  | STRAIGHT LINES                                  | 3         | High
 11  | MATRICES AND DETERMINANTS                       | 3         | High
 12  | PERMUTATIONS & COMBINATIONS                     | 3         | High
 13  | TANGENTS AND NORMALS                            | 3         | High
 14  | QUADRATIC EQUATIONS AND EXPRESSIONS             | 3         | High
 15  | DIFFERENTIATION                                 | 2         | Medium
 16  | FUNCTIONS                                       | 2         | Medium
 17  | BINOMIAL THEOREM                                | 2         | Medium
 18  | RANDOM VARIABLES AND PROBABILITY DISTRIBUTION   | 2         | Medium
 19  | VECTOR ADDITION                                 | 2         | Medium
 20  | THEORY OF EQUATIONS                             | 2         | Medium
 21  | HYPERBOLA                                       | 2         | Medium
 22  | PAIR OF STRAIGHT LINES                          | 2         | Medium
 23  | CROSS PRODUCT (VECTORS)                         | 2         | Medium
 24  | MAXIMA AND MINIMA                               | 1         | Low
 25  | 3D COORDINATE SYSTEM                            | 1         | Low
 26  | ELLIPSE                                         | 1         | Low
 27  | PARABOLA                                        | 1         | Low
 28  | PLANE                                           | 1         | Low
 29  | DOT PRODUCT (VECTORS)                           | 1         | Low
 30  | HYPERBOLIC FUNCTIONS                            | 1         | Low
 31  | STATISTICS                                      | 1         | Low
 32  | LOCUS                                           | 1         | Low
 33  | PARTIAL FRACTIONS                               | 1         | Low
 34  | AREAS                                           | 1         | Low
 35  | SYSTEM OF CIRCLES                               | 1         | Low
 36  | MULTIPLE AND SUB MULTIPLE ANGLES                | 1         | Low
 37  | DC'S AND DR'S                                   | 1         | Low
 38  | DE MOIVRE'S THEOREM                             | 1         | Low
 39  | TRIPLE PRODUCT OF VECTOR'S                      | 0         | Low
 40  | MEAN VALUE THEOREM                              | 0         | Low

--------------------------------------------------------------------------------
PHYSICS (31 Topics)
--------------------------------------------------------------------------------
S.No | Topic                                           | Weightage | Priority
