AREAS: 26 Hard, 0 PYQs
AREAS UNDER CURVES: 27 Hard, 20 PYQs
BINOMIAL THEOREM: 40 Hard, 20 PYQs
CIRCLES: 34 Hard, 20 PYQs
COMPLEX NUMBERS: 23 Hard, 20 PYQs
VECTORS: 14 Hard, 20 PYQs
DC'S AND DR'S: 29 Hard, 20 PYQs
DEFINITE INTEGRALS: 24 Hard, 20 PYQs
DE MOIVRE'S THEOREM: 32 Hard, 20 PYQs
DIFFERENTIAL EQUATIONS: 33 Hard, 20 PYQs
DIFFERENTIATION: 23 Hard, 20 PYQs
DOT PRODUCT (VECTORS): 24 Hard, 20 PYQs
ELLIPSE: 29 Hard, 20 PYQs
FUNCTIONS: 15 Hard, 20 PYQs
HYPERBOLA: 25 Hard, 20 PYQs
HYPERBOLIC FUNCTIONS: 22 Hard, 20 PYQs
INTEGRATION: 25 Hard, 20 PYQs
LIMITS & CONTINUITY: 15 Hard, 20 PYQs
LOCUS: 38 Hard, 20 PYQs
MATRICES AND DETERMINANTS: 19 Hard, 20 PYQs
MAXIMA & MINIMA: 10 Hard, 20 PYQs
MULTIPLE AND SUB MULTIPLE ANGLES: 35 Hard, 20 PYQs
PAIR OF STRAIGHT LINES: 32 Hard, 20 PYQs
PARABOLA: 36 Hard, 20 PYQs
PARTIAL FRACTIONS: 28 Hard, 20 PYQs
PERMUTATIONS & COMBINATIONS: 13 Hard, 19 PYQs
PLANE: 22 Hard, 20 PYQs
PROBABILITY: 26 Hard, 20 PYQs
PROPERTIES OF TRIANGLES: 40 Hard, 20 PYQs
QUADRATIC EQUATIONS AND EXPRESSIONS: 24 Hard, 20 PYQs
RANDOM VARIABLES AND PROBABILITY DISTRIBUTION: 16 Hard, 20 PYQs
STATISTICS: 16 Hard, 20 PYQs
STRAIGHT LINES: 19 Hard, 20 PYQs
SYSTEM OF CIRCLES: 31 Hard, 20 PYQs
TANGENTS AND NORMALS: 30 Hard, 20 PYQs
THEORY OF EQUATIONS: 13 Hard, 20 PYQs
TRIGONOMETRY UPTO TRANSFORMATIONS: 26 Hard, 20 PYQs
VECTOR ADDITION: 5 Hard, 20 PYQs
