FINAL GAP ANALYSIS REPORT (TOTAL PURGE)
========================================

### SUBJECT: CHEMISTRY
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| :--- | :---: | :---: | :---: | :---: |
| aldehydes_ketones_acids | 21 | 1 | 20 | 42 |
| aldehydes_ketones_carboxylic_acids | 22 | 0 | 20 | 42 |
| atomic_structure | 29 | 0 | 20 | 49 |
| biomolecules | 30 | 0 | 20 | 50 |
| boron_family | 21 | 0 | 20 | 41 |
| carbonyl_compounds | 22 | 0 | 20 | 42 |
| carbon_family | 21 | 0 | 20 | 41 |
| carboxylic_acids | 22 | 2 | 20 | 44 |
| chemical_bonding | 17 | 6 | 20 | 43 |
| chemical_bonding_and_molecular_structure | 17 | 6 | 20 | 43 |
| chemical_equilibrium | 30 | 1 | 20 | 51 |
| chemical_kinetics | 30 | 0 | 20 | 50 |
| chemical_thermodynamics | 26 | 3 | 20 | 49 |
| classification_of_elements_periodicity | 27 | 0 | 20 | 47 |
| coordination_compounds | 27 | 0 | 20 | 47 |
| d_f_block | 27 | 0 | 20 | 47 |
| d_f_block_elements | 27 | 0 | 20 | 47 |
| electrochemistry_redox | 34 | 0 | 20 | 54 |
| environmental_chemistry | 29 | 0 | 20 | 49 |
| everyday_chemistry | 22 | 2 | 20 | 44 |
| everyday_life | 25 | 0 | 20 | 45 |
| goc | 29 | 0 | 20 | 49 |
| goc_principles_techniques | 29 | 0 | 20 | 49 |
| haloalkanes_haloarenes | 20 | 0 | 20 | 40 |
| hydrocarbons | 23 | 0 | 20 | 43 |
| hydrogen | 24 | 1 | 20 | 45 |
| hydrogen_and_its_compounds | 24 | 1 | 20 | 45 |
| metallurgy | 24 | 0 | 20 | 44 |
| nitrogen_compounds | 22 | 1 | 20 | 43 |
| organic_compounds_with_nitrogen | 22 | 1 | 20 | 43 |
| organic_c_h_o | 20 | 0 | 20 | 40 |
| periodic_table | 23 | 5 | 20 | 48 |
| polymers | 25 | 0 | 20 | 45 |
| p_block_elements | 21 | 0 | 20 | 41 |
| p_block_elements_groups_13_18 | 21 | 0 | 20 | 41 |
| solid_state | 25 | 0 | 20 | 45 |
| solutions | 32 | 0 | 20 | 52 |
| states_of_matter | 28 | 0 | 20 | 48 |
| stoichiometry | 30 | 0 | 20 | 50 |
| stoichiometry_mole_concept | 30 | 0 | 20 | 50 |
| surface_chemistry | 21 | 1 | 20 | 42 |
| s_block_elements | 29 | 0 | 20 | 49 |
| thermodynamics | 26 | 3 | 20 | 49 |

### SUBJECT: PHYSICS
| Topic Name | Hard Gap | Med Gap | PYQ Gap | Total to Add |
| :--- | :---: | :---: | :---: | :---: |
| alternating_current | 28 | 0 | 20 | 48 |
| atomic_physics | 31 | 1 | 20 | 52 |
| communication_system | 25 | 1 | 20 | 46 |
| current_electricity | 25 | 0 | 20 | 45 |
| dual_nature_of_radiation_matter | 21 | 3 | 20 | 44 |
| electric_charges_and_fields | 30 | 0 | 20 | 50 |
| electrostatic_potential_and_capacitance | 26 | 0 | 20 | 46 |
| electro_magnetic_induction | 30 | 0 | 20 | 50 |
| electro_magnetic_waves | 24 | 1 | 20 | 45 |
| friction_newtons_laws_of_motion | 28 | 0 | 20 | 48 |
| gravitation | 24 | 0 | 20 | 44 |
| kinetic_theory_of_gases | 26 | 0 | 20 | 46 |
| magnetism_matter | 25 | 0 | 20 | 45 |
| mechanical_properties_of_fluids | 29 | 0 | 20 | 49 |
| mechanical_properties_of_solids | 26 | 1 | 20 | 47 |
| motion_in_a_plane | 26 | 3 | 20 | 49 |
