QUESTION GAP ANALYSIS REPORT
==============================

### SUBJECT: CHEMISTRY
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| :--- | :---: | :---: | :---: | :---: | :---: |
| aldehydes_ketones_acids | 0 | 21 | 1 | 0 | 22 |
| aldehydes_ketones_carboxylic_acids | 0 | 22 | 0 | 11 | 33 |
| atomic_structure | 28 | 29 | 0 | 1 | 30 |
| biomolecules | 0 | 30 | 0 | 0 | 30 |
| boron_family | 0 | 21 | 0 | 0 | 21 |
| carbonyl_compounds | 0 | 22 | 0 | 11 | 33 |
| carbon_family | 0 | 21 | 0 | 0 | 21 |
| carboxylic_acids | 0 | 22 | 2 | 9 | 33 |
| chemical_bonding | 0 | 17 | 6 | 0 | 23 |
| chemical_bonding_and_molecular_structure | 0 | 17 | 6 | 0 | 23 |
| chemical_equilibrium | 0 | 30 | 1 | 0 | 31 |
| chemical_kinetics | 0 | 30 | 0 | 0 | 30 |
| chemical_thermodynamics | 0 | 26 | 3 | 0 | 29 |
| classification_of_elements_periodicity | 0 | 27 | 0 | 0 | 27 |
| coordination_compounds | 0 | 27 | 0 | 0 | 27 |
| d_f_block | 0 | 27 | 0 | 0 | 27 |
| d_f_block_elements | 0 | 27 | 0 | 0 | 27 |
| electrochemistry_redox | 0 | 34 | 0 | 0 | 34 |
| environmental_chemistry | 0 | 29 | 0 | 0 | 29 |
| everyday_chemistry | 0 | 22 | 2 | 6 | 30 |
| everyday_life | 0 | 25 | 0 | 0 | 25 |
| goc | 0 | 29 | 0 | 0 | 29 |
| goc_principles_techniques | 0 | 29 | 0 | 0 | 29 |
| haloalkanes_haloarenes | 0 | 20 | 0 | 14 | 34 |
| hydrocarbons | 0 | 23 | 0 | 0 | 23 |
| hydrogen | 0 | 24 | 1 | 0 | 25 |
| hydrogen_and_its_compounds | 0 | 24 | 1 | 0 | 25 |
| metallurgy | 0 | 24 | 0 | 10 | 34 |
| nitrogen_compounds | 0 | 22 | 1 | 0 | 23 |
| organic_compounds_with_nitrogen | 0 | 22 | 1 | 0 | 23 |
| organic_c_h_o | 0 | 20 | 0 | 14 | 34 |
| periodic_table | 0 | 23 | 5 | 3 | 31 |
| polymers | 0 | 25 | 0 | 0 | 25 |
| p_block_elements | 0 | 21 | 0 | 0 | 21 |
| p_block_elements_groups_13_18 | 0 | 21 | 0 | 0 | 21 |
| solid_state | 0 | 25 | 0 | 0 | 25 |
| solutions | 0 | 32 | 0 | 0 | 32 |
| states_of_matter | 0 | 28 | 0 | 6 | 34 |
| stoichiometry | 0 | 30 | 0 | 1 | 31 |
| stoichiometry_mole_concept | 0 | 30 | 0 | 1 | 31 |
| surface_chemistry | 0 | 21 | 1 | 0 | 22 |
| s_block_elements | 0 | 29 | 0 | 0 | 29 |
| thermodynamics | 0 | 26 | 3 | 0 | 29 |

### SUBJECT: PHYSICS
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| :--- | :---: | :---: | :---: | :---: | :---: |
| alternating_current | 28 | 28 | 0 | 2 | 30 |
| atomic_physics | 0 | 31 | 1 | 0 | 32 |
| communication_system | 0 | 25 | 1 | 0 | 26 |
| current_electricity | 0 | 25 | 0 | 0 | 25 |
| dual_nature_of_radiation_matter | 0 | 21 | 3 | 0 | 24 |
| electric_charges_and_fields | 0 | 30 | 0 | 0 | 30 |
| electrostatic_potential_and_capacitance | 0 | 26 | 0 | 0 | 26 |
| electro_magnetic_induction | 0 | 30 | 0 | 8 | 38 |
| electro_magnetic_waves | 0 | 24 | 1 | 0 | 25 |
| friction_newtons_laws_of_motion | 0 | 28 | 0 | 0 | 28 |
| gravitation | 0 | 24 | 0 | 0 | 24 |
| kinetic_theory_of_gases | 0 | 26 | 0 | 0 | 26 |
| magnetism_matter | 0 | 25 | 0 | 0 | 25 |
| mechanical_properties_of_fluids | 0 | 29 | 0 | 0 | 29 |
| mechanical_properties_of_solids | 0 | 26 | 1 | 0 | 27 |
| motion_in_a_plane | 0 | 26 | 3 | 0 | 29 |
| motion_in_a_straight_line | 0 | 33 | 1 | 0 | 34 |
| moving_charges_and_magnetism | 0 | 22 | 6 | 0 | 28 |
| nuclear_physics | 0 | 17 | 6 | 0 | 23 |
| oscillations | 0 | 24 | 0 | 0 | 24 |
| ray_optics | 0 | 27 | 0 | 0 | 27 |
| semi_conductors | 0 | 26 | 2 | 0 | 28 |
| system_of_particles_and_rotatory_motion | 0 | 24 | 4 | 6 | 34 |
| system_particles | 0 | 24 | 0 | 0 | 24 |
| thermal_properties_i_and_ii | 0 | 29 | 0 | 0 | 29 |
| thermodynamics | 0 | 37 | 13 | 10 | 60 |
| units_and_measurements | 0 | 22 | 0 | 0 | 22 |
| vectors | 0 | 28 | 4 | 0 | 32 |
| wave_motion | 0 | 25 | 2 | 0 | 27 |
| wave_optics | 0 | 25 | 0 | 0 | 25 |
| work_power_energy | 0 | 26 | 2 | 0 | 28 |

### SUBJECT: MATHS
| Topic | Deleted (Easy) | Hard Gap (Need 40) | Med Gap (Need 20) | PYQ Gap (Need 20) | Total Gap |
| :--- | :---: | :---: | :---: | :---: | :---: |
| areas | 0 | 14 | 0 | 0 | 14 |
| areas_under_curves | 0 | 22 | 0 | 0 | 22 |
| binomial_theorem | 0 | 11 | 0 | 0 | 11 |
| circles | 0 | 13 | 0 | 0 | 13 |
| complex_numbers | 0 | 25 | 0 | 0 | 25 |
| cross_product_vectors | 0 | 33 | 0 | 0 | 33 |
| dc_s_and_dr_s | 0 | 21 | 0 | 0 | 21 |
| definite_integrals | 0 | 24 | 0 | 0 | 24 |
| de_moivre_s_theorem | 0 | 16 | 0 | 0 | 16 |
| differential_equations | 0 | 18 | 0 | 0 | 18 |
| differentiation | 0 | 28 | 0 | 0 | 28 |
| dot_product_vectors | 0 | 19 | 0 | 0 | 19 |
| ellipse | 0 | 19 | 0 | 0 | 19 |
| functions | 0 | 33 | 0 | 0 | 33 |
| hyperbola | 0 | 22 | 0 | 0 | 22 |
| hyperbolic_functions | 0 | 23 | 3 | 12 | 38 |
| integration | 0 | 23 | 0 | 0 | 23 |
| limits_continuity | 0 | 31 | 0 | 3 | 34 |
| locus | 0 | 17 | 0 | 0 | 17 |
| matrices_and_determinants | 0 | 27 | 0 | 0 | 27 |
| multiple_and_sub_multiple_angles | 0 | 12 | 0 | 4 | 16 |
| pair_of_straight_lines | 0 | 19 | 0 | 0 | 19 |
| parabola | 0 | 13 | 1 | 0 | 14 |
